doc_id	paragraph_id	sentence_id	sentence	token_id	token	lemma	upos	misc	start	end
doc1	1	1	Wikipedia , de vrije encyclopedie , B. Dijkstra , and others , 2023 , Westlaauwers Frais , Wikipedia Q27175	1	Wikipedia	Wikipedia	INTJ		1	9
doc1	1	1	Wikipedia , de vrije encyclopedie , B. Dijkstra , and others , 2023 , Westlaauwers Frais , Wikipedia Q27175	2	,	,	PUNCT	SpacesAfter=\s\s	10	10
doc1	1	1	Wikipedia , de vrije encyclopedie , B. Dijkstra , and others , 2023 , Westlaauwers Frais , Wikipedia Q27175	3	de	de	DET		12	13
doc1	1	1	Wikipedia , de vrije encyclopedie , B. Dijkstra , and others , 2023 , Westlaauwers Frais , Wikipedia Q27175	4	vrije	vrij	ADJ		15	19
doc1	1	1	Wikipedia , de vrije encyclopedie , B. Dijkstra , and others , 2023 , Westlaauwers Frais , Wikipedia Q27175	5	encyclopedie	encyclopeetje	NOUN		21	32
doc1	1	1	Wikipedia , de vrije encyclopedie , B. Dijkstra , and others , 2023 , Westlaauwers Frais , Wikipedia Q27175	6	,	,	PUNCT	SpacesAfter=\s\s	33	33
doc1	1	1	Wikipedia , de vrije encyclopedie , B. Dijkstra , and others , 2023 , Westlaauwers Frais , Wikipedia Q27175	7	B.	B	PROPN		35	36
doc1	1	1	Wikipedia , de vrije encyclopedie , B. Dijkstra , and others , 2023 , Westlaauwers Frais , Wikipedia Q27175	8	Dijkstra	Dijkstra	PROPN		38	45
doc1	1	1	Wikipedia , de vrije encyclopedie , B. Dijkstra , and others , 2023 , Westlaauwers Frais , Wikipedia Q27175	9	,	,	PUNCT	SpacesAfter=\s\s	46	46
doc1	1	1	Wikipedia , de vrije encyclopedie , B. Dijkstra , and others , 2023 , Westlaauwers Frais , Wikipedia Q27175	10	and	and	ADV		48	50
doc1	1	1	Wikipedia , de vrije encyclopedie , B. Dijkstra , and others , 2023 , Westlaauwers Frais , Wikipedia Q27175	11	others	other	NOUN		52	57
doc1	1	1	Wikipedia , de vrije encyclopedie , B. Dijkstra , and others , 2023 , Westlaauwers Frais , Wikipedia Q27175	12	,	,	PUNCT	SpacesAfter=\s\s	58	58
doc1	1	1	Wikipedia , de vrije encyclopedie , B. Dijkstra , and others , 2023 , Westlaauwers Frais , Wikipedia Q27175	13	2023	2023	NUM		60	63
doc1	1	1	Wikipedia , de vrije encyclopedie , B. Dijkstra , and others , 2023 , Westlaauwers Frais , Wikipedia Q27175	14	,	,	PUNCT	SpacesAfter=\s\s	64	64
doc1	1	1	Wikipedia , de vrije encyclopedie , B. Dijkstra , and others , 2023 , Westlaauwers Frais , Wikipedia Q27175	15	Westlaauwers	Westlaauwer	PROPN		66	77
doc1	1	1	Wikipedia , de vrije encyclopedie , B. Dijkstra , and others , 2023 , Westlaauwers Frais , Wikipedia Q27175	16	Frais	Frais	PROPN		79	83
doc1	1	1	Wikipedia , de vrije encyclopedie , B. Dijkstra , and others , 2023 , Westlaauwers Frais , Wikipedia Q27175	17	,	,	PUNCT	SpacesAfter=\s\s	84	84
doc1	1	1	Wikipedia , de vrije encyclopedie , B. Dijkstra , and others , 2023 , Westlaauwers Frais , Wikipedia Q27175	18	Wikipedia	Wikipedia	PROPN		86	94
doc1	1	1	Wikipedia , de vrije encyclopedie , B. Dijkstra , and others , 2023 , Westlaauwers Frais , Wikipedia Q27175	19	Q27175	Q27175	NUM	SpacesAfter=\s\n\n	96	101
doc1	2	2	Westlaauwers Frais ( of gewoon Frais , in de toal zulf Frysk ) is n toal dij heurt bie Noordwestgermoanse toek van Westgermoanse toaln .	1	Westlaauwers	Westlaauwer	PROPN		105	116
doc1	2	2	Westlaauwers Frais ( of gewoon Frais , in de toal zulf Frysk ) is n toal dij heurt bie Noordwestgermoanse toek van Westgermoanse toaln .	2	Frais	Frais	PROPN	SpacesAfter=\s\s	118	122
doc1	2	2	Westlaauwers Frais ( of gewoon Frais , in de toal zulf Frysk ) is n toal dij heurt bie Noordwestgermoanse toek van Westgermoanse toaln .	3	(	(	PUNCT		124	124
doc1	2	2	Westlaauwers Frais ( of gewoon Frais , in de toal zulf Frysk ) is n toal dij heurt bie Noordwestgermoanse toek van Westgermoanse toaln .	4	of	of	CCONJ		125	126
doc1	2	2	Westlaauwers Frais ( of gewoon Frais , in de toal zulf Frysk ) is n toal dij heurt bie Noordwestgermoanse toek van Westgermoanse toaln .	5	gewoon	gewoon	ADJ		128	133
doc1	2	2	Westlaauwers Frais ( of gewoon Frais , in de toal zulf Frysk ) is n toal dij heurt bie Noordwestgermoanse toek van Westgermoanse toaln .	6	Frais	Frais	PROPN		135	139
doc1	2	2	Westlaauwers Frais ( of gewoon Frais , in de toal zulf Frysk ) is n toal dij heurt bie Noordwestgermoanse toek van Westgermoanse toaln .	7	,	,	PUNCT	SpacesAfter=\s\s	140	140
doc1	2	2	Westlaauwers Frais ( of gewoon Frais , in de toal zulf Frysk ) is n toal dij heurt bie Noordwestgermoanse toek van Westgermoanse toaln .	8	in	in	ADP		142	143
doc1	2	2	Westlaauwers Frais ( of gewoon Frais , in de toal zulf Frysk ) is n toal dij heurt bie Noordwestgermoanse toek van Westgermoanse toaln .	9	de	de	DET		145	146
doc1	2	2	Westlaauwers Frais ( of gewoon Frais , in de toal zulf Frysk ) is n toal dij heurt bie Noordwestgermoanse toek van Westgermoanse toaln .	10	toal	taal	NOUN		148	151
doc1	2	2	Westlaauwers Frais ( of gewoon Frais , in de toal zulf Frysk ) is n toal dij heurt bie Noordwestgermoanse toek van Westgermoanse toaln .	11	zulf	zelf	ADV		153	156
doc1	2	2	Westlaauwers Frais ( of gewoon Frais , in de toal zulf Frysk ) is n toal dij heurt bie Noordwestgermoanse toek van Westgermoanse toaln .	12	Frysk	Frysk	PROPN		158	162
doc1	2	2	Westlaauwers Frais ( of gewoon Frais , in de toal zulf Frysk ) is n toal dij heurt bie Noordwestgermoanse toek van Westgermoanse toaln .	13	)	)	PUNCT	SpacesAfter=\s\s	163	163
doc1	2	2	Westlaauwers Frais ( of gewoon Frais , in de toal zulf Frysk ) is n toal dij heurt bie Noordwestgermoanse toek van Westgermoanse toaln .	14	is	zijn	AUX		165	166
doc1	2	2	Westlaauwers Frais ( of gewoon Frais , in de toal zulf Frysk ) is n toal dij heurt bie Noordwestgermoanse toek van Westgermoanse toaln .	15	n	een	DET		168	168
doc1	2	2	Westlaauwers Frais ( of gewoon Frais , in de toal zulf Frysk ) is n toal dij heurt bie Noordwestgermoanse toek van Westgermoanse toaln .	16	toal	taal	NOUN		170	173
doc1	2	2	Westlaauwers Frais ( of gewoon Frais , in de toal zulf Frysk ) is n toal dij heurt bie Noordwestgermoanse toek van Westgermoanse toaln .	17	dij	die	PRON		175	177
doc1	2	2	Westlaauwers Frais ( of gewoon Frais , in de toal zulf Frysk ) is n toal dij heurt bie Noordwestgermoanse toek van Westgermoanse toaln .	18	heurt	horen	VERB		179	183
doc1	2	2	Westlaauwers Frais ( of gewoon Frais , in de toal zulf Frysk ) is n toal dij heurt bie Noordwestgermoanse toek van Westgermoanse toaln .	19	bie	bij	ADP	SpacesAfter=\n	185	187
doc1	2	2	Westlaauwers Frais ( of gewoon Frais , in de toal zulf Frysk ) is n toal dij heurt bie Noordwestgermoanse toek van Westgermoanse toaln .	20	Noordwestgermoanse	Noordwestgermoans	DET		189	206
doc1	2	2	Westlaauwers Frais ( of gewoon Frais , in de toal zulf Frysk ) is n toal dij heurt bie Noordwestgermoanse toek van Westgermoanse toaln .	21	toek	toek	NOUN		208	211
doc1	2	2	Westlaauwers Frais ( of gewoon Frais , in de toal zulf Frysk ) is n toal dij heurt bie Noordwestgermoanse toek van Westgermoanse toaln .	22	van	van	ADP		213	215
doc1	2	2	Westlaauwers Frais ( of gewoon Frais , in de toal zulf Frysk ) is n toal dij heurt bie Noordwestgermoanse toek van Westgermoanse toaln .	23	Westgermoanse	Westgermaans	PROPN		217	229
doc1	2	2	Westlaauwers Frais ( of gewoon Frais , in de toal zulf Frysk ) is n toal dij heurt bie Noordwestgermoanse toek van Westgermoanse toaln .	24	toaln	tollen	NOUN		231	235
doc1	2	2	Westlaauwers Frais ( of gewoon Frais , in de toal zulf Frysk ) is n toal dij heurt bie Noordwestgermoanse toek van Westgermoanse toaln .	25	.	.	PUNCT		236	236
doc1	2	3	Deur toalkundegen wordt maisttied Westerlaauwers Frais nuimd .	1	Deur	door	ADP		238	241
doc1	2	3	Deur toalkundegen wordt maisttied Westerlaauwers Frais nuimd .	2	toalkundegen	toalkundeg	NOUN		243	254
doc1	2	3	Deur toalkundegen wordt maisttied Westerlaauwers Frais nuimd .	3	wordt	worden	AUX		256	260
doc1	2	3	Deur toalkundegen wordt maisttied Westerlaauwers Frais nuimd .	4	maisttied	meestal	ADV	SpacesAfter=\n	262	270
doc1	2	3	Deur toalkundegen wordt maisttied Westerlaauwers Frais nuimd .	5	Westerlaauwers	Westerlaauwer	PROPN		272	285
doc1	2	3	Deur toalkundegen wordt maisttied Westerlaauwers Frais nuimd .	6	Frais	Frais	PROPN		287	291
doc1	2	3	Deur toalkundegen wordt maisttied Westerlaauwers Frais nuimd .	7	nuimd	noemen	VERB		293	297
doc1	2	3	Deur toalkundegen wordt maisttied Westerlaauwers Frais nuimd .	8	.	.	PUNCT		298	298
doc1	2	4	In boetenlaand staait t veuraal bekind as Westfrais , moar in Nederlaand het Westfrais andere betaikenis .	1	In	in	ADP		300	301
doc1	2	4	In boetenlaand staait t veuraal bekind as Westfrais , moar in Nederlaand het Westfrais andere betaikenis .	2	boetenlaand	boetenland	NOUN		303	313
doc1	2	4	In boetenlaand staait t veuraal bekind as Westfrais , moar in Nederlaand het Westfrais andere betaikenis .	3	staait	staan	VERB		315	320
doc1	2	4	In boetenlaand staait t veuraal bekind as Westfrais , moar in Nederlaand het Westfrais andere betaikenis .	4	t	het	PRON		322	322
doc1	2	4	In boetenlaand staait t veuraal bekind as Westfrais , moar in Nederlaand het Westfrais andere betaikenis .	5	veuraal	vooral	ADV		324	330
doc1	2	4	In boetenlaand staait t veuraal bekind as Westfrais , moar in Nederlaand het Westfrais andere betaikenis .	6	bekind	bekend	ADJ		332	337
doc1	2	4	In boetenlaand staait t veuraal bekind as Westfrais , moar in Nederlaand het Westfrais andere betaikenis .	7	as	als	SCONJ		339	340
doc1	2	4	In boetenlaand staait t veuraal bekind as Westfrais , moar in Nederlaand het Westfrais andere betaikenis .	8	Westfrais	Westfrais	PROPN		342	350
doc1	2	4	In boetenlaand staait t veuraal bekind as Westfrais , moar in Nederlaand het Westfrais andere betaikenis .	9	,	,	PUNCT	SpacesAfter=\s\s	351	351
doc1	2	4	In boetenlaand staait t veuraal bekind as Westfrais , moar in Nederlaand het Westfrais andere betaikenis .	10	moar	maar	CCONJ		353	356
doc1	2	4	In boetenlaand staait t veuraal bekind as Westfrais , moar in Nederlaand het Westfrais andere betaikenis .	11	in	in	ADP	SpacesAfter=\n	358	359
doc1	2	4	In boetenlaand staait t veuraal bekind as Westfrais , moar in Nederlaand het Westfrais andere betaikenis .	12	Nederlaand	Nederland	PROPN		361	370
doc1	2	4	In boetenlaand staait t veuraal bekind as Westfrais , moar in Nederlaand het Westfrais andere betaikenis .	13	het	hebben	AUX		372	374
doc1	2	4	In boetenlaand staait t veuraal bekind as Westfrais , moar in Nederlaand het Westfrais andere betaikenis .	14	Westfrais	Westfrais	PROPN		376	384
doc1	2	4	In boetenlaand staait t veuraal bekind as Westfrais , moar in Nederlaand het Westfrais andere betaikenis .	15	andere	ander	ADJ		386	391
doc1	2	4	In boetenlaand staait t veuraal bekind as Westfrais , moar in Nederlaand het Westfrais andere betaikenis .	16	betaikenis	betaikenis	NOUN		393	402
doc1	2	4	In boetenlaand staait t veuraal bekind as Westfrais , moar in Nederlaand het Westfrais andere betaikenis .	17	.	.	PUNCT		403	403
doc1	2	5	Op dizze pagina wordt de noam ” Frais ” aanholden .	1	Op	op	ADP		405	406
doc1	2	5	Op dizze pagina wordt de noam ” Frais ” aanholden .	2	dizze	deze	DET		408	412
doc1	2	5	Op dizze pagina wordt de noam ” Frais ” aanholden .	3	pagina	pagina	NOUN		414	419
doc1	2	5	Op dizze pagina wordt de noam ” Frais ” aanholden .	4	wordt	worden	AUX		421	425
doc1	2	5	Op dizze pagina wordt de noam ” Frais ” aanholden .	5	de	de	DET		427	428
doc1	2	5	Op dizze pagina wordt de noam ” Frais ” aanholden .	6	noam	naam	NOUN		430	433
doc1	2	5	Op dizze pagina wordt de noam ” Frais ” aanholden .	7	”	”	PUNCT		435	435
doc1	2	5	Op dizze pagina wordt de noam ” Frais ” aanholden .	8	Frais	Frais	PROPN		436	440
doc1	2	5	Op dizze pagina wordt de noam ” Frais ” aanholden .	9	”	”	PUNCT		441	441
doc1	2	5	Op dizze pagina wordt de noam ” Frais ” aanholden .	10	aanholden	aanholden	VERB		443	451
